frame_index,sample_time_s,mission_elapsed_time_s,stage1_velocity_mps,stage1_altitude_m,stage2_velocity_mps,stage2_altitude_m
10669,177.9957372352495,174.0,1843.14592,62383.11120000001,,
10789,179.99775133856096,175.0,1894.1084799999999,64198.804800000005,,
10909,181.9997654418724,178.0,1958.48224,66522.9048,,
11029,184.0017795451839,179.0,2008.55072,68426.6856,,
11149,186.00379364849533,182.0,2040.29056,70594.1184,,
11269,188.00580775180677,184.0,2067.11296,72769.78080000001,,
11389,190.00782185511824,186.0,2088.5708799999998,74953.6728,,
11508,191.99315250756877,187.0,2081.86528,76639.8264,,
11628,193.99516661088023,190.0,2068.45408,78995.3208,,
11748,195.99718071419167,192.0,2059.51328,81085.02960000001,2065.3248,
11868,197.9991948175031,194.0,2050.12544,82911.0864,,83013.19440000001
11988,200.0012089208146,196.0,2041.18464,84929.47200000001,2046.99616,84930.996
12108,202.00322302412604,197.0,2033.13792,86691.82560000001,2038.9494399999999,86814.9648
12228,204.0052371274375,200.0,2023.30304,,2033.58496,
12348,206.00725123074895,201.0,2015.70336,,2035.37312,90493.2912
12467,207.9925818831995,203.0,2007.2096,92212.9728,2039.3964799999999,92300.7552
12587,209.99459598651097,205.0,1998.71584,94051.2216,2042.9728,
12707,211.9966100898224,208.0,1989.77504,95851.6752,2046.54912,96113.80320000001
12827,213.99862419313388,210.0,1981.72832,97615.248,2050.12544,97868.8416
12947,216.00063829644537,212.0,1974.12864,99341.02560000001,2053.70176,99608.0304
13067,218.0026523997568,214.0,1966.08192,101388.672,2057.72512,101388.672
13187,220.00466650306825,216.0,1958.48224,102998.016,2062.1955199999998,102998.016
13307,222.00668060637972,218.0,1950.88256,104607.36,2066.21888,104607.36
13426,223.99201125883025,219.0,1944.17696,106216.704,2069.7952,106216.704
13546,225.99402536214168,221.0,1937.02432,106216.704,2074.2656,107826.04800000001
13666,227.99603946545315,223.0,1929.87168,107826.04800000001,2079.18304,109435.392
13786,229.99805356876465,226.0,1922.272,109435.392,2084.54752,111044.736
13906,232.00006767207609,227.0,1916.46048,,2089.01792,112654.08
14026,234.00208177538752,229.0,1909.75488,112654.08,2093.93536,114263.424
14146,236.004095878699,231.0,1903.04928,114263.424,2099.29984,115872.76800000001
14266,238.00610998201043,233.0,1896.79072,115872.76800000001,2104.66432,117482.11200000001
14386,240.0081240853219,236.0,1890.08512,115872.76800000001,2110.47584,119091.456
14505,241.9934547377724,237.0,1884.72064,117482.11200000001,2115.39328,120700.8
14625,243.9954688410839,239.0,1878.90912,119091.456,2121.2048,122310.144
14745,245.99748294439533,241.0,1873.0976,120700.8,2127.01632,123919.488
14865,247.9994970477068,244.0,1867.28608,120700.8,2133.72192,125528.83200000001
14985,250.00151115101824,245.0,1862.36864,122310.144,2139.0864,
15105,252.0035252543297,247.0,1857.4512,122310.144,2144.45088,128747.52
15225,254.00553935764117,249.0,1852.08672,123919.488,2151.60352,130356.864
15345,256.00755346095264,252.0,1846.72224,125528.83200000001,2158.75616,131966.208
15464,257.99288411340314,253.0,1842.25184,125528.83200000001,2164.56768,133575.552
15584,259.9948982167146,255.0,1837.78144,,2171.27328,135184.896
