frame_index,sample_time_s,mission_elapsed_time_s,met_raw_text,met_parse_status,met_raw_unit,met_raw_value,met_si_value,met_variant,stage1_velocity_raw_text,stage1_velocity_parse_status,stage1_velocity_raw_unit,stage1_velocity_raw_value,stage1_velocity_si_value,stage1_velocity_variant,stage1_altitude_raw_text,stage1_altitude_parse_status,stage1_altitude_raw_unit,stage1_altitude_raw_value,stage1_altitude_si_value,stage1_altitude_variant,stage2_velocity_raw_text,stage2_velocity_parse_status,stage2_velocity_raw_unit,stage2_velocity_raw_value,stage2_velocity_si_value,stage2_velocity_variant,stage2_altitude_raw_text,stage2_altitude_parse_status,stage2_altitude_raw_unit,stage2_altitude_raw_value,stage2_altitude_si_value,stage2_altitude_variant
3117,52.00231633351511,47.0,T+00:00:47,parsed,s,47.0,47.0,raw,"000,257 NEW GLENN MPH VELOCITY",parsed,MPH,257.0,114.88928,raw,"006,892 NEW GLENN ALTITUDE FT",parsed,FT,6892.0,2100.6816,raw,"000,000 STAGE2 MPH VELOCITY",parsed,MPH,0.0,0.0,raw,"000,000 STAGE2 ALTITUDE",parsed,MI,0.0,0.0,raw
3237,54.00433043682656,50.0,T+00:00:50,parsed,s,50.0,50.0,raw,"000,277 NEW GLENN MPH VELOCITY",parsed,MPH,277.0,123.83008,raw,"007,658 NEW GLENN ALTITUDE FT",parsed,FT,7658.0,2334.1584000000003,raw,"STAGE2 000,000 MPH VELOCITY",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
3357,56.00634454013802,51.0,T+00:00:51,parsed,s,51.0,51.0,raw,562'000 NEW GLENN MPH VELOCITY,parsed,MPH,562.0,251.23648,raw,"008,384 NEW GLENN ALTITUDE FT",parsed,FT,8384.0,2555.4432,raw,"STAGE2 000,000 MPH VELOCITY",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
3476,57.99167519258855,54.0,T+00:00:54,parsed,s,54.0,54.0,raw,"000,317 NEW GLENN MPH VELOCITY",parsed,MPH,317.0,141.71168,raw,899'600 NEW GLENN ALTITUDE FT,parsed,FT,899.0,274.0152,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"000,000 STAGE2 ALTITUDE",parsed,MI,0.0,0.0,raw
3596,59.99368929590001,56.0,T+00:00:56,parsed,s,56.0,56.0,raw,"000,338 NEW GLENN MPH VELOCITY",parsed,MPH,338.0,151.09951999999998,raw,"010,179 NEW GLENN ALTITUDE FT",parsed,FT,10179.0,3102.5592,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
3716,61.995703399211465,58.0,T+00:00:58,parsed,s,58.0,58.0,raw,698'000 NEW GLENN MPH VELOCITY,parsed,MPH,698.0,312.03392,raw,"011,166 NEW GLENN ALTITUDE FT",parsed,FT,11166.0,3403.3968,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
3836,63.99771750252293,59.0,T+00:00:59,parsed,s,59.0,59.0,raw,"000,379 NEW GLENN MPH VELOCITY",parsed,MPH,379.0,169.42816,raw,"012,094 NEW GLENN ALTITUDE FT",parsed,FT,12094.0,3686.2512,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
3956,65.99973160583438,62.0,T+00:01:02,parsed,s,62.0,62.0,raw,"000,405 NEW GLENN MPH VELOCITY",parsed,MPH,405.0,181.0512,raw,"013,199 NEWGLENN FT ALTITUDE",parsed,FT,13199.0,4023.0552,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
4076,68.00174570914584,63.0,T+00:01:03,parsed,s,63.0,63.0,raw,"000,427 NEW GLENN MPH VELOCITY",parsed,MPH,427.0,190.88608,raw,"014,237 NEW GLENN ALTITUDE FT",parsed,FT,14237.0,4339.4376,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
4196,70.00375981245729,65.0,T+00:01:05,parsed,s,65.0,65.0,raw,"000,453 NEW GLENN MPH VELOCITY",parsed,MPH,453.0,202.50912,raw,"015,467 NEW GLENN ALTITUDE FT",parsed,FT,15467.0,4714.341600000001,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
